short_name,council_name,stratum,abs_lga_code,is_indigenous_council,population_latest,essential_services_inputs_used,n_above_soci_water_threshold,n_is_water_service_provider,n_mean_remoteness_score,essential_services_score,population_vulnerability_inputs_used,n_seifa_irsd_score,n_avg_persons_per_bedroom,n_indigenous_share_pct,population_vulnerability_score,institutional_capacity_inputs_used,n_own_source_revenue_share,n_indoor_staff_share,n_staff_per_1000_residents,institutional_capacity_score,deployment_evidence_inputs_used,n_ai_deployment_confirmed,deployment_evidence_score,synthetic_warning_inputs_used,n_disaster_events_alltime,n_mbsp_stations_per_1000_residents,n_pct_language_not_english_home,synthetic_warning_score,ai_risk_index,components_complete,adri_andri,ai_risk_rank,adri_rank,rank_shift
Mornington,Mornington Shire Council,indigenous,35250,True,1099,3/3,1.0,0.0,0.8269,0.6067,3/3,0.8654,0.8782,0.8397,0.8635,3/3,0.7566,0.0205,0.1667,0.4178,0/1,,,3/3,0.25,0.8974,0.8526,0.6272,0.5124,4/5,0.2639,30,10,-20
Mount Isa,Mount Isa City Council,remote,35300,False,18585,3/3,1.0,1.0,0.6474,0.9119,3/3,0.3526,0.6667,0.6859,0.5458,3/3,0.2303,0.3767,0.6733,0.3628,1/1,0.0,0.0,3/3,0.25,0.5385,0.7179,0.4679,0.4928,5/5,0.3163,38,19,-19
Murweh,Murweh Shire Council,very_remote,35600,False,4004,3/3,1.0,1.0,0.8269,0.9567,3/3,0.5256,0.0513,0.5962,0.3772,3/3,0.5592,0.1164,0.42,0.3985,0/1,,,3/3,0.25,0.2244,0.5321,0.3115,0.4653,4/5,0.4413,53,43,-10
Napranum,Napranum Aboriginal Shire Council,indigenous,35670,True,952,3/3,1.0,0.0,0.5833,0.5458,3/3,0.8397,0.9551,0.8526,0.8833,3/3,0.9671,0.0068,0.1133,0.5083,0/1,,,3/3,0.25,0.1346,0.8141,0.3506,0.5007,4/5,0.3093,36,17,-19
Noosa,Noosa Shire Council,seq_metro,35740,False,59551,3/3,1.0,0.0,0.0256,0.4064,3/3,0.0321,0.3718,0.0064,0.1446,3/3,0.3224,0.9521,0.86,0.6188,1/1,1.0,1.0,3/3,0.6282,0.6346,0.4936,0.5968,0.5258,5/5,0.6933,27,76,49
North Burnett,North Burnett Regional Council,outer_regional,35760,False,10562,3/3,1.0,1.0,0.25,0.8125,3/3,0.7372,0.3718,0.391,0.5228,3/3,0.5197,0.3356,0.46,0.4526,0/1,,,3/3,0.25,0.1987,0.5192,0.2994,0.4734,4/5,0.445,47,47,0
Northern Peninsula Area,Northern Peninsula Area Regional Council,indigenous,35780,True,2944,3/3,1.0,0.0,0.8269,0.6067,3/3,0.8013,0.9551,0.8654,0.8712,2/3,0.7961,,0.9867,0.8505,0/1,,,3/3,0.25,0.3013,0.9679,0.4474,0.6258,3/5,0.1422,7,5,-2
Palm Island,Palm Island Aboriginal Shire Council,indigenous,35790,True,2335,3/3,1.0,0.0,0.5833,0.5458,3/3,0.8846,0.8782,0.9423,0.8968,3/3,0.8882,0.9384,0.3133,0.7883,0/1,,,3/3,0.25,0.25,0.891,0.4103,0.5933,4/5,0.1283,10,2,-8
Paroo,Paroo Shire Council,very_remote,35800,False,1724,3/3,1.0,1.0,0.8269,0.9567,3/3,0.7756,0.3718,0.7628,0.6311,3/3,0.6382,0.3562,0.2867,0.4833,0/1,,,3/3,0.25,0.0577,0.2372,0.1795,0.5283,4/5,0.3932,24,29,5
Pormpuraaw,Pormpuraaw Aboriginal Shire Council,indigenous,36070,True,650,3/3,1.0,0.0,0.8269,0.6067,3/3,0.9038,0.8782,0.8205,0.874,3/3,0.9079,0.1301,0.0733,0.5077,0/1,,,3/3,0.25,0.8974,0.9167,0.6433,0.5431,4/5,0.1351,21,4,-17
Quilpie,Quilpie Shire Council,very_remote,36150,False,720,3/3,1.0,1.0,0.8269,0.9567,3/3,0.1731,0.3718,0.6218,0.3548,3/3,0.6842,0.1027,0.1533,0.4036,0/1,,,3/3,0.25,0.0321,0.0321,0.1192,0.4431,4/5,0.3932,64,30,-34
Redland,Redland City Council,outer_regional,36250,False,172831,3/3,1.0,1.0,0.2628,0.8157,3/3,0.0449,0.0513,0.0577,0.0503,3/3,0.0329,0.9932,0.9133,0.4971,1/1,0.0,0.0,3/3,0.25,0.7436,0.6282,0.5173,0.4148,5/5,0.6108,71,70,-1
Richmond,Richmond Shire Council,very_remote,36300,False,788,3/3,1.0,1.0,0.8269,0.9567,3/3,0.109,0.3718,0.4038,0.2747,3/3,0.7434,0.1575,0.2067,0.4603,0/1,,,3/3,0.8205,0.109,0.0705,0.384,0.4706,4/5,0.385,49,27,-22
Rockhampton,Rockhampton Regional Council,regional_city,36370,False,85794,3/3,1.0,1.0,0.1667,0.7917,3/3,0.5064,0.3718,0.5192,0.4625,3/3,0.3355,0.8014,0.62,0.5322,1/1,0.0,0.0,3/3,0.9167,0.7436,0.5897,0.7744,0.5275,5/5,0.5844,25,68,43
Scenic Rim,Scenic Rim Regional Council,regional_city,36510,False,46947,3/3,1.0,0.0,0.0962,0.424,3/3,0.2885,0.3718,0.0705,0.2631,3/3,0.2697,0.6781,0.78,0.4943,0/1,,,3/3,0.8205,0.5962,0.25,0.5994,0.3669,4/5,0.5016,73,59,-14
Somerset,Somerset Regional Council,regional_city,36580,False,26936,1/3,,,0.109,0.109,3/3,0.5641,0.3718,0.1218,0.3862,3/3,0.4145,0.4726,0.82,0.513,0/1,,,3/3,0.6282,0.4679,0.4295,0.5224,0.3106,3/5,0.508,78,62,-16
South Burnett,South Burnett Regional Council,regional_city,36630,False,35111,3/3,1.0,1.0,0.1667,0.7917,3/3,0.7115,0.3718,0.3269,0.4965,3/3,0.2829,0.7877,0.6333,0.5044,0/1,,,3/3,0.6282,0.3141,0.2051,0.4125,0.4898,4/5,0.4209,39,37,-2
Southern Downs,Southern Downs Regional Council,regional_city,36660,False,38064,3/3,1.0,1.0,0.2244,0.8061,3/3,0.609,0.0513,0.2308,0.3192,3/3,0.1908,0.4041,0.7133,0.3593,0/1,,,3/3,0.6282,0.4936,0.3718,0.517,0.4249,4/5,0.4956,70,55,-15
Sunshine Coast,Sunshine Coast Regional Council,seq_metro,36720,False,381957,3/3,1.0,0.0,0.0833,0.4208,3/3,0.0577,0.3718,0.0449,0.1644,3/3,0.3487,0.9795,0.9267,0.6535,1/1,1.0,1.0,3/3,0.6282,0.6923,0.5513,0.6314,0.5473,5/5,0.7306,20,78,58
Tablelands,Tablelands Regional Council,outer_regional,36820,False,27902,3/3,1.0,1.0,0.3782,0.8446,3/3,0.4551,0.3718,0.4679,0.4292,3/3,0.2566,0.637,0.6533,0.4501,0/1,,,3/3,0.6282,0.5385,0.4551,0.5535,0.4873,4/5,0.495,41,54,13
Toowoomba,Toowoomba Regional Council,regional_city,36910,False,186276,3/3,1.0,1.0,0.1667,0.7917,3/3,0.3333,0.3718,0.141,0.2987,3/3,0.1776,0.7603,0.7667,0.4702,1/1,0.0,0.0,3/3,0.8205,0.609,0.6731,0.7096,0.4697,5/5,0.5048,50,61,11
Torres,Torres Shire Council,indigenous,36950,True,3490,3/3,1.0,1.0,0.8269,0.9567,3/3,0.7244,0.8782,0.7885,0.7942,3/3,0.5724,0.0616,0.4333,0.3913,0/1,,,3/3,0.6282,0.359,0.9038,0.6029,0.5757,4/5,0.3053,13,12,-1
Torres Strait Island,Torres Strait Island Regional Council,indigenous,36960,True,4298,3/3,1.0,1.0,0.8269,0.9567,3/3,0.8141,0.7436,0.9295,0.8183,3/3,0.9079,0.7466,0.2467,0.7273,0/1,,,3/3,0.25,0.4295,0.9936,0.4987,0.6709,4/5,0.2307,5,6,1
Townsville,Townsville City Council,outer_regional,37010,False,206260,3/3,1.0,1.0,0.3782,0.8446,3/3,0.2564,0.3718,0.4936,0.3561,3/3,0.0066,0.8151,0.7267,0.3931,1/1,1.0,1.0,3/3,0.9808,0.7244,0.6474,0.8077,0.6311,5/5,0.6645,6,74,68
Weipa,Weipa Town Authority,very_remote,37300,False,4297,1/3,,,0.8269,0.8269,3/3,0.0064,0.7436,0.6474,0.4247,0/3,,,,,0/1,,,3/3,0.25,0.8974,0.7179,0.5936,0.351,2/5,0.4296,75,39,-36
Western Downs,Western Downs Regional Council,outer_regional,37310,False,35452,3/3,1.0,1.0,0.2756,0.8189,3/3,0.5449,0.3718,0.4295,0.4554,3/3,0.4934,0.5,0.4867,0.494,0/1,,,3/3,0.8205,0.4551,0.3526,0.5756,0.5016,4/5,0.4188,33,32,-1
Whitsunday,Whitsunday Regional Council,outer_regional,37340,False,41374,3/3,1.0,1.0,0.4551,0.8638,3/3,0.3782,0.3718,0.2692,0.3487,3/3,0.2039,0.6096,0.6867,0.4222,0/1,,,3/3,0.9167,0.6474,0.6282,0.7503,0.4874,4/5,0.4447,40,46,6
Winton,Winton Shire Council,very_remote,37400,False,1152,3/3,1.0,1.0,0.8269,0.9567,3/3,0.2115,0.3718,0.4167,0.3189,3/3,0.6842,0.4452,0.1933,0.5143,0/1,,,3/3,0.25,0.1603,0.1026,0.1817,0.4754,4/5,0.4189,46,36,-10
Woorabinda,Woorabinda Aboriginal Shire Council,indigenous,37550,True,1087,1/3,,,0.3782,0.3782,3/3,0.9936,0.8782,0.9551,0.9436,0/3,,,,,0/1,,,3/3,0.25,0.8974,0.2692,0.4814,0.3314,2/5,0.4383,76,41,-35
Wujal Wujal,Wujal Wujal Aboriginal Shire Council,indigenous,37570,True,301,3/3,1.0,0.0,0.5833,0.5458,3/3,0.9551,0.8782,0.9679,0.9314,3/3,0.9671,0.5548,0.0067,0.6513,0/1,,,3/3,0.25,0.8974,0.8782,0.6337,0.5815,4/5,0.3093,12,18,6
Yarrabah,Yarrabah Aboriginal Shire Council,indigenous,37600,True,2669,3/3,1.0,0.0,0.3782,0.4946,3/3,0.9423,0.9872,0.9808,0.9676,3/3,0.875,0.1438,0.3667,0.554,0/1,,,3/3,0.25,0.2628,0.9551,0.4308,0.5264,4/5,0.2662,26,11,-15
