short_name,council_name,abs_lga_name,abs_lga_code,stratum,is_local_government,is_indigenous_council,website,population_latest,population_latest_year,population_10yr_prior,census2021_total_persons,census2021_indigenous_persons,seifa_irsd_score,seifa_irsd_decile_aus,seifa_irsd_percentile_aus,seifa_irsd_decile_state,seifa_irsad_score,seifa_irsad_decile_aus,seifa_ier_score,seifa_ieo_score,median_age,median_personal_income_weekly,median_household_income_weekly,avg_household_size,avg_persons_per_bedroom,median_family_income_weekly,median_rent_weekly,median_mortgage_monthly,staff_data_year,staff_fte_indoor,staff_fte_outdoor,staff_fte_total,finance_data_year,total_operating_income_k,net_rates_and_utility_charges_k,employee_expenses_k,water_sewer_data_year,water_connections_total,water_connections_residential,sewerage_connections_total,adri_andri,adri_coping_capacity,adri_adaptive_capacity,adri_information_access,mean_remoteness_score,indigenous_share_pct,is_water_service_provider,above_soci_water_threshold,own_source_revenue_share,staff_per_1000_residents
Etheridge,Etheridge Regional Council,Etheridge,33100,very_remote,True,False,https://www.etheridge.qld.gov.au,727,2025,818,714,46,982,6,53,7,961,6,968,949,46,744,1145,2.2,1,1441,160,758,2015_16,24,29,53,2015_16,14116,2643,4428,2015_16,236,200,0,0.3402,0.3357,0.3323,0.0812,5.0,6.4,True,False,0.187,72.9
Flinders,Flinders Regional Council,Flinders (Qld),33200,very_remote,True,False,https://www.flinders.qld.gov.au,1545,2025,1643,1500,169,970,5,44,7,945,5,960,930,42,821,1343,2.3,0.8,1743,160,758,2015_16,30,57,87,2015_16,17842,3575,6148,2015_16,951,705,785,0.385,0.4024,0.3565,0.0998,5.0,11.3,True,False,0.2,56.31
Fraser Coast,Fraser Coast Regional Council,Fraser Coast,33220,regional_city,True,False,https://www.frasercoast.qld.gov.au,122924,2025,102129,111032,5647,915,2,17,4,890,2,954,886,51,533,1062,2.3,0.7,1293,300,1300,2015_16,376,326,702,2015_16,204006,158668,50110,2015_16,38392,35698,32229,0.4294,0.3881,0.4267,0.129,2.388,5.1,True,False,0.778,5.71
Gladstone,Gladstone Regional Council,Gladstone,33360,regional_city,True,False,https://www.gladstone.qld.gov.au,69046,2025,63697,63515,3946,954,4,33,6,926,3,975,898,38,758,1639,2.5,0.8,2048,275,1600,2015_16,397,244,641,2015_16,191397,138619,54837,2015_16,22625,20796,22931,0.5146,0.4544,0.5061,0.1358,2.0,6.2,True,False,0.724,9.28
Gold Coast,Gold Coast Regional Council,Gold Coast,33430,seq_metro,True,False,https://www.goldcoast.qld.gov.au/Home,691230,2025,561629,625087,13593,1019,8,77,10,1009,9,1015,1001,39,787,1691,2.5,0.8,2010,450,1950,2015_16,2522,1258,3780,2015_16,1198445,1007970,311137,2015_16,247246,231221,235500,0.6906,0.6044,0.6508,0.56,1.0,2.2,True,True,0.841,5.47
Goondiwindi,Goondiwindi Regional Council,Goondiwindi,33610,outer_regional,True,False,https://www.grc.qld.gov.au,10438,2025,10835,10310,803,965,4,40,6,938,4,976,921,40,754,1394,2.5,0.8,1735,250,1300,2015_16,54,101,155,2015_16,32017,18578,12053,2015_16,4144,3291,3444,0.4297,0.3314,0.4599,0.102,3.0,7.8,True,False,0.58,14.85
Gympie,Gympie Regional Council,Gympie,33620,regional_city,True,False,https://www.gympie.qld.gov.au,58487,2025,49540,53242,2331,930,3,21,4,896,2,972,889,48,554,1115,2.4,0.8,1359,290,1327,2015_16,243,220,463,2015_16,79891,62212,29742,2015_16,14312,12869,12356,0.4848,0.4372,0.475,0.1948,2.0,4.4,True,False,0.779,7.92
Hinchinbrook,Hinchinbrook Regional Council,Hinchinbrook,33800,outer_regional,True,False,https://www.hinchinbrook.qld.gov.au,11194,2025,11181,10920,756,954,4,33,6,911,3,953,884,51,644,1158,2.2,0.7,1555,200,1170,2015_16,80,95,175,2015_16,36734,24140,13267,2015_16,5182,4183,2832,0.5016,0.4328,0.5014,0.078,3.0,6.9,True,False,0.657,15.63
Hope Vale,Hope Vale Aboriginal Shire Council,Hope Vale,33830,indigenous,True,True,https://www.hopevale.qld.gov.au,1073,2025,1009,976,863,631,1,5,2,722,1,634,815,28,386,836,3.1,1.1,874,120,975,2015_16,15,82,97,2015_16,19236,0,5292,2015_16,0,,0,0.3093,0.2935,0.3123,0.0569,4.0,88.4,False,False,0.0,90.4
Ipswich,Ipswich Regional Council,Ipswich,33960,seq_metro,True,False,https://www.ipswich.qld.gov.au,268272,2025,194274,229208,12509,958,4,35,6,940,4,980,934,33,795,1668,2.8,0.8,1936,330,1600,2015_16,653,378,1031,2015_16,275954,164742,79786,2015_16,0,,0,0.4865,0.4664,0.4583,0.6021,1.008,5.5,False,False,0.597,3.84
