"short_name","council_name","abs_lga_name","abs_lga_code","stratum","is_local_government","is_indigenous_council","website","population_latest","population_latest_year","population_10yr_prior","census2021_total_persons","census2021_indigenous_persons","seifa_irsd_score","seifa_irsd_decile_aus","seifa_irsd_percentile_aus","seifa_irsd_decile_state","seifa_irsad_score","seifa_irsad_decile_aus","seifa_ier_score","seifa_ieo_score","median_age","median_personal_income_weekly","median_household_income_weekly","avg_household_size","avg_persons_per_bedroom","median_family_income_weekly","median_rent_weekly","median_mortgage_monthly","staff_data_year","staff_fte_indoor","staff_fte_outdoor","staff_fte_total","finance_data_year","total_operating_income_k","net_rates_and_utility_charges_k","employee_expenses_k","water_sewer_data_year","water_connections_total","water_connections_residential","sewerage_connections_total","adri_andri","adri_coping_capacity","adri_adaptive_capacity","adri_information_access","mean_remoteness_score","indigenous_share_pct","is_water_service_provider","above_soci_water_threshold","own_source_revenue_share","staff_per_1000_residents","adri_social_character","adri_economic_capital","adri_planning_build_environment","adri_emergency_services","adri_govt_leadership","adri_community_social_engagement","adri_community_capital","url_status","worst_remoteness_score","icfp_eligible","deamalgamated_2014","ai_status","ai_infrastructure_type","ai_source","water_utility","water_control_tier","water_connections_2023_24","meets_soci_threshold","has_published_ai_governance_policy","ai_detail","ai_region","ai_policy_scan_result","ai_policy_url","airports_total","airports_council_operated","airports_external","has_lifeline_airstrip","airport_control_tier","roads_data_year","road_km_rural","road_km_urban","road_km_total","waste_data_year","waste_properties_serviced","waste_tonnes_domestic","waste_collection_cost_k","isolated_power_network","isolated_power_confidence","indoor_staff_share","water_connections_best","water_connections_vintage","ai_deployment_confirmed"
"Burdekin","Burdekin Shire Council","Burdekin","31900","outer_regional","True","False","https://www.burdekin.qld.gov.au","17220","2025","17566","16692","1097","966","5","42","7","923","3","969","890","45","723","1345","2.3","0.8","1804","222","1220","2015_16","110","131","241","2015_16","47265","37289","17924","2015_16","6533","5483","7553","0.5011","0.4425","0.4947","0.0927","3.0","6.6","True","False","0.789","14.0","0.7578","0.5984","0.6516","0.4153","0.497","0.5424","0.3821","verified (blocks bots)","3","False","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Townsville-North West","not checked","","","","","","","2015_16","968.0","178.0","1146.0","2015_16","7072.0","3390.0","1788.0","False","grid-connected (not on Ergon list)","0.456","6533","2015_16","False"
"Burke","Burke Shire Council","Burke","31950","very_remote","True","False","https://www.burke.qld.gov.au","449","2025","396","419","136","941","3","25","5","928","4","899","927","35","884","1312","2.3","1","2125","150","477","2015_16","12","36","48","2015_16","12762","3628","3923","2015_16","197","121","112","0.2639","0.2123","0.2905","0.0483","5.0","32.5","True","False","0.284","106.9","0.5313","0.4003","0.3512","0.45","0.4513","0.1848","0.0745","verified (blocks bots)","5","False","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Townsville-North West","not checked","","1","1","0","True","lifeline","2015_16","703.0","10.0","713.0","2015_16","97.0","175.0","297.0","True","verified — named on ergon.com.au","0.25","197","2015_16","False"
"Cairns","Cairns Regional Council","Cairns","32080","outer_regional","True","False","https://www.cairns.qld.gov.au","179334","2025","159944","166943","16153","981","6","52","7","966","7","971","972","39","809","1578","2.5","0.8","1950","340","1588","2015_16","634","486","1120","2015_16","281273","241265","92450","2015_16","68686","63898","64860","0.6004","0.467","0.6171","0.3686","3.0","9.7","True","False","0.858","6.25","0.6614","0.6933","0.4914","0.4559","0.6623","0.5388","0.2951","verified (blocks bots)","3","False","False","AI-adjacent (IoT/smart, no AI confirmed) + AI governance policy exists","Water metering; AI governance","Cairns Regional Council AI General Policy PDF; Itron press release (14 Nov 2017)","Cairns Regional Council","direct (council-operated)","76270","False","True","Published Council AI General Policy (governance framework, not infrastructure deployment). Smart water meters (Itron OpenWay Riva, 55,000 units) — IoT leak detection; no AI-specific decisioning in physical infrastructure confirmed.","Far North Queensland","YES","https://www.cairns.qld.gov.au/__data/assets/pdf_file/0012/737787/Artificial-Intelligence-General-Policy.pdf","1","0","1","False","external","2015_16","413.0","913.0","1326.0","2015_16","70272.0","49681.0","3997.0","False","grid-connected (not on Ergon list)","0.566","76270","2023_24","False"
"Carpentaria","Carpentaria Shire Council","Carpentaria","32250","very_remote","True","False","https://www.carpentaria.qld.gov.au","2247","2025","2092","2090","871","851","1","8","3","862","1","837","852","36","770","1469","2.5","1.1","1704","173","1128","2015_16","40","51","91","2015_16","47276","6987","9927","2015_16","884","735","759","0.2639","0.2123","0.2905","0.0483","5.0","41.7","True","False","0.148","40.5","0.5313","0.4003","0.3512","0.45","0.4513","0.1848","0.0745","verified (blocks bots)","5","False","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Townsville-North West","not checked","","2","2","0","True","lifeline","2015_16","1601.0","37.0","1638.0","2015_16","689.0","","480.0","False","grid-connected (not on Ergon list)","0.44","884","2015_16","False"
"Cassowary Coast","Cassowary Coast Regional Council","Cassowary Coast","32260","outer_regional","True","False","https://www.cassowarycoast.qld.gov.au","30666","2025","29098","29157","3206","929","3","21","4","902","2","941","888","46","647","1204","2.3","0.8","1475","250","1300","2015_16","117","202","319","2015_16","74153","61422","23701","2015_16","12786","10920","5972","0.5236","0.3875","0.5594","0.0899","3.0","11.0","True","False","0.828","10.4","0.6248","0.581","0.502","0.4456","0.6175","0.493","0.3613","verified (blocks bots)","3","False","False","State-deployed AI within LGA (not council-operated)","Road safety — wildlife detection","ABC News (30 Jul 2025)","Cassowary Coast Regional Council","direct (council-operated)","13503","False","","Department of Transport and Main Roads (state government, not council) trialled an AI-based ""Large Animal Activated Roadside Monitoring and Alert System"" to detect cassowaries near roads and warn drivers, reducing cassowary deaths by over a third. Physically located within the Cassowary Coast LGA but deployed and operated by the state government, not the council.","Far North Queensland","not checked","","","","","","","2015_16","1012.0","200.0","1212.0","2015_16","11764.0","9280.0","1380.0","False","grid-connected (not on Ergon list)","0.367","13503","2023_24","False"
"Central Highlands","Central Highlands Regional Council","Central Highlands (Qld)","32270","remote","True","False","https://chrc.qld.gov.au","29481","2025","29143","27836","1639","996","7","64","9","961","6","1003","914","34","1011","2095","2.6","0.8","2443","250","1500","2015_16","208","229","437","2015_16","123076","80509","38150","2015_16","12106","10557","15724","0.4758","0.4274","0.468","0.125","3.694","5.9","True","False","0.654","14.82","0.7305","0.4723","0.6114","0.4263","0.5753","0.3702","0.469","verified (hand-resolved)","4","False","False","No evidence found","","","Central Highlands Regional Council","direct (council-operated)","12362","False","False","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Central Queensland","YES","https://chrc.qld.gov.au/wp-content/uploads/2025/11/ECM_1891688_v2_Draft-CHRC-Use-of-Generative-AI-Tools-Policy-Version-1-0-CHRC-ICT-19-March-2025.pdf","2","2","0","False","council-operated","2015_16","4199.0","390.0","4589.0","2015_16","9885.0","10946.0","1950.0","False","grid-connected (not on Ergon list)","0.476","12362","2023_24","False"
"Charters Towers","Charters Towers Regional Council","Charters Towers","32310","remote","True","False","https://www.charterstowers.qld.gov.au","12088","2025","12235","11794","1143","933","3","22","4","908","2","945","894","42","669","1307","2.4","0.8","1734","220","1300","2015_16","77","134","211","2015_16","35300","20792","18354","2015_16","4717","3737","3230","0.4937","0.4168","0.5001","0.0869","3.999","9.7","True","False","0.589","17.46","0.8939","0.5552","0.474","0.4055","0.5479","0.4785","0.3891","verified (blocks bots)","4","False","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Townsville-North West","not checked","","","","","","","2015_16","3109.0","138.0","3247.0","2015_16","4352.0","2235.0","398.0","False","grid-connected (not on Ergon list)","0.365","4717","2015_16","False"
"Cherbourg","Cherbourg Aboriginal Shire Council","Cherbourg","32330","indigenous","True","True","https://www.cherbourg.qld.gov.au","1289","2025","1304","1194","1151","498","1","2","1","660","1","561","814","23","375","793","3.4","1","803","100","0","2015_16","","","","2015_16","6464","0","3225","2015_16","","","","0.384","0.2963","0.4153","0.0797","2.0","96.4","","","0.0","","0.4521","0.5127","0.4226","0.4105","0.496","0.3818","0.2906","verified (blocks bots)","2","True","False","Confirmed AI","Waste/recycling facility","Noosa Shire Council media release (Oct 2021); Council Magazine; South Burnett Times","","","","False","","AI computer-vision system (3D cameras + ML) automatically identifying and counting recyclable items at Cherbourg's Material Recovery Facility. Developed with Noosa's Peregian Digital Hub, Advance Queensland and the Indigenous Land and Sea Corporation (2021 onward).","Wide Bay-Burnett","not checked","","","","","","","2015_16","58.0","12.0","70.0","2015_16","","","","False","grid-connected (not on Ergon list)","","","","True"
"Cloncurry","Cloncurry Shire Council","Cloncurry","32450","remote","True","False","https://www.cloncurry.qld.gov.au","3907","2025","3179","3644","868","965","5","41","6","939","4","936","903","34","1190","1879","2.5","0.8","2321","220","1200","2015_16","49","56","105","2015_16","25545","13460","6550","2015_16","1176","1003","917","0.3273","0.312","0.3274","0.1097","4.0","23.8","True","False","0.527","26.87","0.7066","0.466","0.4084","0.4478","0.452","0.263","0.2171","verified (blocks bots)","4","False","False","No evidence found","","","","","","False","","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Townsville-North West","not checked","","1","1","0","False","council-operated","2015_16","1486.0","85.0","1571.0","2015_16","986.0","","","False","grid-connected (not on Ergon list)","0.467","1176","2015_16","False"
"Cook","Cook Shire Council","Cook","32500","remote","True","False","https://www.cook.qld.gov.au","4876","2025","4217","4511","951","913","2","16","4","912","3","885","937","42","669","1159","2.3","1","1494","200","1300","2015_16","51","65","116","2015_16","17943","6564","8528","2015_16","1049","920","724","0.3093","0.2935","0.3123","0.0569","4.0","21.1","True","False","0.366","23.79","0.5131","0.4869","0.453","0.4082","0.473","0.1986","0.2582","verified","5","False","False","No evidence found","","","","","","False","False","Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.","Far North Queensland","NOT FOUND","","2","2","0","False","council-operated","2015_16","2837.0","90.0","2927.0","2015_16","1134.0","2739.0","1596.0","True","verified — named on ergon.com.au","0.44","1049","2015_16","False"
