short_name,council_name,stratum,abs_lga_code,is_indigenous_council,population_latest,essential_services_score,essential_services_inputs_used,n_above_soci_water_threshold,n_is_water_service_provider,n_mean_remoteness_score,population_vulnerability_score,population_vulnerability_inputs_used,n_seifa_irsd_score,n_avg_persons_per_bedroom,n_indigenous_share_pct,institutional_capacity_score,institutional_capacity_inputs_used,n_own_source_revenue_share,n_indoor_staff_share,n_staff_per_1000_residents,deployment_evidence_score,deployment_evidence_inputs_used,n_ai_deployment_confirmed,ai_risk_index,components_complete,adri_andri,ai_risk_rank,adri_rank,rank_shift
Murweh,Murweh Regional Council,very_remote,35600,False,4004,0.9567,3/3,1.0,1.0,0.8269,0.3772,3/3,0.5256,0.0513,0.5962,0.3985,3/3,0.5592,0.1164,0.42,0.0,1/1,0.0,0.5009,4/4,0.4413,44,43,-1
Napranum,Napranum Aboriginal Shire Council,indigenous,35670,True,952,0.5458,3/3,1.0,0.0,0.5833,0.8833,3/3,0.8397,0.9551,0.8526,0.5083,3/3,0.9671,0.0068,0.1133,0.0,1/1,0.0,0.5371,4/4,0.3093,26,17,-9
Noosa,Noosa Regional Council,seq_metro,35740,False,59551,0.4064,3/3,1.0,0.0,0.0256,0.1446,3/3,0.0321,0.3718,0.0064,0.6188,3/3,0.3224,0.9521,0.86,1.0,1/1,1.0,0.4937,4/4,0.6933,48,76,28
North Burnett,North Burnett Regional Council,outer_regional,35760,False,10562,0.8125,3/3,1.0,1.0,0.25,0.5228,3/3,0.7372,0.3718,0.391,0.4526,3/3,0.5197,0.3356,0.46,0.0,1/1,0.0,0.5102,4/4,0.445,40,47,7
Northern Peninsula Area,Northern Peninsula Area Regional Council,indigenous,35780,True,2944,0.6067,3/3,1.0,0.0,0.8269,0.8712,3/3,0.8013,0.9551,0.8654,0.8505,2/3,0.7961,,0.9867,0.0,1/1,0.0,0.655,3/4,0.1422,7,5,-2
Palm Island,Palm Island Aboriginal Shire Council,indigenous,35790,True,2335,0.5458,3/3,1.0,0.0,0.5833,0.8968,3/3,0.8846,0.8782,0.9423,0.7883,3/3,0.8882,0.9384,0.3133,0.0,1/1,0.0,0.6244,4/4,0.1283,9,2,-7
Paroo,Paroo Regional Council,very_remote,35800,False,1724,0.9567,3/3,1.0,1.0,0.8269,0.6311,3/3,0.7756,0.3718,0.7628,0.4833,3/3,0.6382,0.3562,0.2867,0.0,1/1,0.0,0.5898,4/4,0.3932,17,29,12
Pormpuraaw,Pormpuraaw Aboriginal Shire Council,indigenous,36070,True,650,0.6067,3/3,1.0,0.0,0.8269,0.874,3/3,0.9038,0.8782,0.8205,0.5077,3/3,0.9079,0.1301,0.0733,0.0,1/1,0.0,0.5528,4/4,0.1351,23,4,-19
Quilpie,Quilpie Regional Council,very_remote,36150,False,720,0.9567,3/3,1.0,1.0,0.8269,0.3548,3/3,0.1731,0.3718,0.6218,0.4036,3/3,0.6842,0.1027,0.1533,0.0,1/1,0.0,0.4968,4/4,0.3932,45,30,-15
Redland,Redland Regional Council,outer_regional,36250,False,172831,0.8157,3/3,1.0,1.0,0.2628,0.0503,3/3,0.0449,0.0513,0.0577,0.4971,3/3,0.0329,0.9932,0.9133,0.0,1/1,0.0,0.4064,4/4,0.6108,71,70,-1
Richmond,Richmond Regional Council,very_remote,36300,False,788,0.9567,3/3,1.0,1.0,0.8269,0.2747,3/3,0.109,0.3718,0.4038,0.4603,3/3,0.7434,0.1575,0.2067,0.0,1/1,0.0,0.4938,4/4,0.385,47,27,-20
Rockhampton,Rockhampton Regional Council,regional_city,36370,False,85794,0.7917,3/3,1.0,1.0,0.1667,0.4625,3/3,0.5064,0.3718,0.5192,0.5322,3/3,0.3355,0.8014,0.62,0.0,1/1,0.0,0.5128,4/4,0.5844,38,68,30
Scenic Rim,Scenic Rim Regional Council,regional_city,36510,False,46947,0.424,3/3,1.0,0.0,0.0962,0.2631,3/3,0.2885,0.3718,0.0705,0.4943,3/3,0.2697,0.6781,0.78,0.0,1/1,0.0,0.3413,4/4,0.5016,75,59,-16
Somerset,Somerset Regional Council,regional_city,36580,False,26936,0.109,1/3,,,0.109,0.3862,3/3,0.5641,0.3718,0.1218,0.513,3/3,0.4145,0.4726,0.82,0.0,1/1,0.0,0.2832,3/4,0.508,78,62,-16
